model,essay_id,respondent_id,question_id,sample_row,prompt_category,prompt_question,mean_total,sd_total,min_total,max_total,n_runs,range_total,cv_total,hitl_status
openai/gpt-oss-120b,14c62a7e4487|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|7383,14c62a7e4487,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,7383,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,29.2,1.4832396974191329,27.0,31.0,5,4.0,0.050795880048600445,Flagged for Review
openai/gpt-oss-120b,163de3065259|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|5240,163de3065259,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,5240,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,29.4,2.073644135332773,26.0,31.0,5,5.0,0.07053211344669295,Flagged for Review
openai/gpt-oss-120b,163de3065259|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5239,163de3065259,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5239,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,1914cc7bd5a0|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|4503,1914cc7bd5a0,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,4503,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,34.6,1.516575088810311,33.0,36.0,5,3.0,0.04383164996561592,Flagged for Review
openai/gpt-oss-120b,1bde7e69a6fd|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|8261,1bde7e69a6fd,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,8261,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,33.0,0.0,33.0,33.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,1d01182462aa|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|7675,1d01182462aa,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,7675,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,25.8,1.7888543819998315,25.0,29.0,5,4.0,0.06933544116278416,Flagged for Review
openai/gpt-oss-120b,1f852366824f|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|8033,1f852366824f,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,8033,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,32.8,1.6431676725154982,31.0,35.0,5,4.0,0.05009657538157007,Flagged for Review
openai/gpt-oss-120b,21ac8a5ad8af|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|1036,21ac8a5ad8af,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,1036,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,25dbe1ed4e4d|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5426,25dbe1ed4e4d,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5426,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,28290ad28d45|a1047a09-89c5-40f4-92a9-398f17962a42|1337,28290ad28d45,a1047a09-89c5-40f4-92a9-398f17962a42,1337,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",29.6,2.073644135332772,26.0,31.0,5,5.0,0.07005554511259364,Flagged for Review
openai/gpt-oss-120b,286c7a8e8237|a1047a09-89c5-40f4-92a9-398f17962a42|8385,286c7a8e8237,a1047a09-89c5-40f4-92a9-398f17962a42,8385,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",30.2,0.8366600265340757,29.0,31.0,5,2.0,0.027703974388545553,Auto-Approve
openai/gpt-oss-120b,287ed8275770|a1047a09-89c5-40f4-92a9-398f17962a42|3601,287ed8275770,a1047a09-89c5-40f4-92a9-398f17962a42,3601,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",16.0,1.8708286933869709,14.0,18.0,5,4.0,0.11692679333668568,Flagged for Review
openai/gpt-oss-120b,28c8b9e0462b|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|177,28c8b9e0462b,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,177,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,2bbd705d8f08|a1047a09-89c5-40f4-92a9-398f17962a42|5987,2bbd705d8f08,a1047a09-89c5-40f4-92a9-398f17962a42,5987,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",23.4,2.4083189157584592,21.0,26.0,5,5.0,0.10291961178454954,Flagged for Review
openai/gpt-oss-120b,2c6b9bbc0e33|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|1254,2c6b9bbc0e33,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,1254,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,300e13827f0a|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|3644,300e13827f0a,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,3644,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,30bfae2d463d|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|2498,30bfae2d463d,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,2498,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,27.2,1.6431676725154982,26.0,30.0,5,4.0,0.06041057619542273,Flagged for Review
openai/gpt-oss-120b,342d60bffcbe|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|3769,342d60bffcbe,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,3769,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,22.0,0.0,22.0,22.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,35172c851b9a|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5585,35172c851b9a,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5585,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,35206b9f80b0|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|5670,35206b9f80b0,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,5670,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,28.6,1.1401754250991378,27.0,30.0,5,3.0,0.03986627360486496,Flagged for Review
openai/gpt-oss-120b,36325e41c73e|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|9266,36325e41c73e,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,9266,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,3b9f8106577f|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|8942,3b9f8106577f,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,8942,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,31.0,0.0,31.0,31.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,3d05cf728ddb|a1047a09-89c5-40f4-92a9-398f17962a42|3370,3d05cf728ddb,a1047a09-89c5-40f4-92a9-398f17962a42,3370,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",23.4,3.049590136395381,20.0,27.0,5,7.0,0.13032436480322143,Flagged for Review
openai/gpt-oss-120b,42994ce6b2e3|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|1778,42994ce6b2e3,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,1778,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,45bf3c8021f8|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5864,45bf3c8021f8,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5864,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,474cc785b269|a1047a09-89c5-40f4-92a9-398f17962a42|6117,474cc785b269,a1047a09-89c5-40f4-92a9-398f17962a42,6117,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",7.0,1.0,6.0,8.0,5,2.0,0.14285714285714285,Auto-Approve
openai/gpt-oss-120b,486d68c2dab9|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5538,486d68c2dab9,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5538,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,4904d3fd75b2|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|4113,4904d3fd75b2,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,4113,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,33.5,0.5773502691896247,33.0,34.0,4,1.0,0.017234336393720143,Auto-Approve
openai/gpt-oss-120b,4d1928a25eb0|a1047a09-89c5-40f4-92a9-398f17962a42|7283,4d1928a25eb0,a1047a09-89c5-40f4-92a9-398f17962a42,7283,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",31.0,0.7071067811865477,30.0,32.0,5,2.0,0.02280989616730799,Auto-Approve
openai/gpt-oss-120b,4ef2c2f0b3ad|a1047a09-89c5-40f4-92a9-398f17962a42|2849,4ef2c2f0b3ad,a1047a09-89c5-40f4-92a9-398f17962a42,2849,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",18.2,2.4899799195977463,14.0,20.0,5,6.0,0.13681208349438168,Flagged for Review
openai/gpt-oss-120b,4ef2c2f0b3ad|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|2850,4ef2c2f0b3ad,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,2850,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,21.0,0.0,21.0,21.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,4f4052fa5651|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|660,4f4052fa5651,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,660,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,25.2,2.949576240750525,21.0,29.0,5,8.0,0.11704667622025892,Flagged for Review
openai/gpt-oss-120b,52b6e85a0af7|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|2284,52b6e85a0af7,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,2284,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,27.6,1.8165902124584945,26.0,30.0,5,4.0,0.06581848595864111,Flagged for Review
openai/gpt-oss-120b,53feaac4cdb9|a1047a09-89c5-40f4-92a9-398f17962a42|867,53feaac4cdb9,a1047a09-89c5-40f4-92a9-398f17962a42,867,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",22.4,2.701851217221259,19.0,25.0,5,6.0,0.12061835791166337,Flagged for Review
openai/gpt-oss-120b,54f8ca3d7863|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|7590,54f8ca3d7863,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,7590,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,30.5,1.0,30.0,32.0,4,2.0,0.03278688524590164,Auto-Approve
openai/gpt-oss-120b,58ebc6483927|a1047a09-89c5-40f4-92a9-398f17962a42|3987,58ebc6483927,a1047a09-89c5-40f4-92a9-398f17962a42,3987,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",14.0,2.8284271247461903,10.0,18.0,5,8.0,0.20203050891044216,Flagged for Review
openai/gpt-oss-120b,59f012bd6764|a1047a09-89c5-40f4-92a9-398f17962a42|3726,59f012bd6764,a1047a09-89c5-40f4-92a9-398f17962a42,3726,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",30.4,0.8944271909999164,29.0,31.0,5,2.0,0.029421947072365673,Auto-Approve
openai/gpt-oss-120b,5c5b9618ceb5|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|4668,5c5b9618ceb5,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,4668,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,5f61e11c682b|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|8426,5f61e11c682b,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,8426,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,60f4fe2bb068|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|784,60f4fe2bb068,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,784,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,62d99b50f1f6|a1047a09-89c5-40f4-92a9-398f17962a42|5945,62d99b50f1f6,a1047a09-89c5-40f4-92a9-398f17962a42,5945,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",20.8,6.379655163094633,10.0,26.0,5,16.0,0.3067141905333958,Flagged for Review
openai/gpt-oss-120b,62d99b50f1f6|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|5946,62d99b50f1f6,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,5946,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,654647c5df68|a1047a09-89c5-40f4-92a9-398f17962a42|2600,654647c5df68,a1047a09-89c5-40f4-92a9-398f17962a42,2600,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",33.2,2.949576240750525,29.0,36.0,5,7.0,0.08884265785393146,Flagged for Review
openai/gpt-oss-120b,668e546fbcb6|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|3042,668e546fbcb6,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,3042,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,12.0,3.082207001484488,7.0,15.0,5,8.0,0.25685058345704065,Flagged for Review
openai/gpt-oss-120b,668e546fbcb6|a1047a09-89c5-40f4-92a9-398f17962a42|3040,668e546fbcb6,a1047a09-89c5-40f4-92a9-398f17962a42,3040,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",29.6,1.1401754250991378,28.0,31.0,5,3.0,0.038519440037133035,Flagged for Review
openai/gpt-oss-120b,69d9a46ca953|a1047a09-89c5-40f4-92a9-398f17962a42|8550,69d9a46ca953,a1047a09-89c5-40f4-92a9-398f17962a42,8550,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",6.6,0.8944271909999159,6.0,8.0,5,2.0,0.13551927136362363,Auto-Approve
openai/gpt-oss-120b,6c29b17784a5|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|8074,6c29b17784a5,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,8074,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,6d8a534947a7|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|1444,6d8a534947a7,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,1444,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,731f7f8bc3de|a1047a09-89c5-40f4-92a9-398f17962a42|9545,731f7f8bc3de,a1047a09-89c5-40f4-92a9-398f17962a42,9545,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",6.2,2.04939015319192,4.0,8.0,5,4.0,0.33054679890192257,Flagged for Review
openai/gpt-oss-120b,7aa5871b8bf9|a1047a09-89c5-40f4-92a9-398f17962a42|4380,7aa5871b8bf9,a1047a09-89c5-40f4-92a9-398f17962a42,4380,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",18.8,2.5884358211089573,16.0,23.0,5,7.0,0.13768275644196581,Flagged for Review
openai/gpt-oss-120b,7aa5871b8bf9|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|4381,7aa5871b8bf9,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,4381,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,24.0,0.0,24.0,24.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,7b44bff699e4|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|1906,7b44bff699e4,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,1906,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,30.4,0.5477225575051662,30.0,31.0,5,1.0,0.01801718939161731,Auto-Approve
openai/gpt-oss-120b,7b44bff699e4|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|1905,7b44bff699e4,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,1905,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,23.0,0.0,23.0,23.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,7bbc30b1caf5|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|1697,7bbc30b1caf5,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,1697,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,27.2,0.8366600265340757,26.0,28.0,5,2.0,0.0307595597990469,Auto-Approve
openai/gpt-oss-120b,7bbc30b1caf5|a1047a09-89c5-40f4-92a9-398f17962a42|1695,7bbc30b1caf5,a1047a09-89c5-40f4-92a9-398f17962a42,1695,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",30.8,1.095445115010332,30.0,32.0,5,2.0,0.03556639983799779,Auto-Approve
openai/gpt-oss-120b,7f8eed9b9311|50d3d866-6ccd-411d-b837-8e9a9e7d2f2d|5065,7f8eed9b9311,50d3d866-6ccd-411d-b837-8e9a9e7d2f2d,5065,tech_society_opinion,Some people think that for robots are very important to you human future development. other think that they are dangerous and have negative effect on society discuss both view and give your opinion.,27.0,1.8708286933869707,24.0,29.0,5,5.0,0.06928995160692485,Flagged for Review
openai/gpt-oss-120b,812e8fd3ce5e|a1047a09-89c5-40f4-92a9-398f17962a42|2871,812e8fd3ce5e,a1047a09-89c5-40f4-92a9-398f17962a42,2871,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",29.6,2.0736441353327724,26.0,31.0,5,5.0,0.07005554511259365,Flagged for Review
openai/gpt-oss-120b,812e8fd3ce5e|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|2872,812e8fd3ce5e,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,2872,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,,0.0,,,0,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,83c086845e33|ce6cb90d-2d98-4565-b69b-9572a2a35e3d|3063,83c086845e33,ce6cb90d-2d98-4565-b69b-9572a2a35e3d,3063,social_policy_opinion,Some think that governments should support retired people financially while others believe they should take care of themselves. Discuss both views and give your own opinion.,21.0,0.0,21.0,21.0,1,0.0,0.0,Auto-Approve
openai/gpt-oss-120b,8570534422fc|a1047a09-89c5-40f4-92a9-398f17962a42|9419,8570534422fc,a1047a09-89c5-40f4-92a9-398f17962a42,9419,data_report,"The charts above show the results of a survey of adult education. The first chart shows the reasons why adults decide to study. The pie chart shows how people think the costs of adult education should be shared. Write a report for a university lecturer, describing the information shown above.",27.6,1.1401754250991378,26.0,29.0,5,3.0,0.041310703807939775,Flagged for Review
